# times, data, noise_only, signal_only
1.767578125000000000e-01 -2.429427449781340469e-23 -2.379421785164027739e-23 -5.000566461731285780e-25
1.777343750000000000e-01 4.268838786871690456e-23 4.308594831308774009e-23 -3.975604443708348862e-25
1.787109375000000000e-01 -1.139320925696118198e-22 -1.136545882189621256e-22 -2.775043506496942629e-25
1.796875000000000000e-01 -3.010089488836151478e-23 -2.995756896768438617e-23 -1.433259206771301063e-25
1.806640625000000000e-01 1.775286000116772842e-23 1.775126595165905955e-23 1.594049508667706560e-27
1.816406250000000000e-01 3.969002661322671030e-23 3.953731206881252428e-23 1.527145444141875102e-25
1.826171875000000000e-01 -8.808986900703674839e-23 -8.839562835168826189e-23 3.057593446515191929e-25
1.835937500000000000e-01 -9.469185286018419927e-23 -9.514742117863694452e-23 4.555683184527431376e-25
1.845703125000000000e-01 -3.373743919470557751e-23 -3.433498497254707491e-23 5.975457778414948323e-25
1.855468750000000000e-01 3.792020543385606492e-23 3.719371473578774135e-23 7.264906980683258622e-25
1.865234375000000000e-01 -1.109488975824925254e-22 -1.117869627664625744e-22 8.380651839700563184e-25
1.875000000000000000e-01 1.591427447601111283e-22 1.582150824257884145e-22 9.276623343227031935e-25
1.884765625000000000e-01 -1.265567888279865121e-22 -1.275486655513235262e-22 9.918767233370120830e-25
1.894531250000000000e-01 -8.412010740310897433e-23 -8.514741837629527753e-23 1.027310973186303014e-24
1.904296875000000000e-01 -1.635639140710828674e-23 -1.738840057966686140e-23 1.032009172558574658e-24
1.914062500000000000e-01 5.796715926204382104e-23 5.696290179410158664e-23 1.004257467942235862e-24
1.923828125000000000e-01 -4.053647895750391413e-23 -4.148047557234291289e-23 9.439966148389998646e-25
1.933593750000000000e-01 -8.929510656614995372e-23 -9.014663812888483794e-23 8.515315627348831118e-25
1.943359375000000000e-01 3.036918233056686778e-23 2.964032213695389456e-23 7.288601936129751415e-25
1.953125000000000000e-01 -1.383067645896765651e-23 -1.440901710359880926e-23 5.783406446311531182e-25
1.962890625000000000e-01 -3.156115568834088739e-23 -3.196514790949723148e-23 4.039922211563465288e-25
1.972656250000000000e-01 8.965214563202850704e-24 8.755142935425170159e-24 2.100716277776800401e-25
1.982421875000000000e-01 1.539161844790372286e-23 1.538934330231108369e-23 2.275145592638464758e-27
1.992187500000000000e-01 8.765842878793070718e-23 8.787216734795932746e-23 -2.137385600286251542e-25
2.001953125000000000e-01 -3.916164793837262822e-23 -3.873049343734493396e-23 -4.311545010276966536e-25
2.011718750000000000e-01 1.528099883473682387e-23 1.592453167823989523e-23 -6.435328435030715474e-25
2.021484375000000000e-01 4.989238849290014165e-23 5.073607795252130205e-23 -8.436894596211604025e-25
2.031250000000000000e-01 1.963894554204601560e-23 2.066420847020967170e-23 -1.025262928163655553e-24
2.041015625000000000e-01 -8.808548534942578972e-23 -8.690392448968795906e-23 -1.181560859737836172e-24
2.050781250000000000e-01 -5.442145288088992188e-23 -5.311433680592007014e-23 -1.307116074969854683e-24
2.060546875000000000e-01 -4.240109324035897394e-23 -4.100454041132124830e-23 -1.396552829037726373e-24
2.070312500000000000e-01 7.627477645025334218e-23 7.772091902093991041e-23 -1.446142570686569887e-24
2.080078125000000000e-01 1.061053817793732595e-23 1.206312724370804490e-23 -1.452589065770719684e-24
2.089843750000000000e-01 -3.666537938321159977e-23 -3.525087478034519586e-23 -1.414504602866404278e-24
2.099609375000000000e-01 -3.069161623978837651e-23 -2.936046185764881325e-23 -1.331154382139560690e-24
2.109375000000000000e-01 1.002327346454290166e-24 2.206227950459001514e-24 -1.203900604004711348e-24
2.119140625000000000e-01 2.851141286227423036e-23 2.954625221370166412e-23 -1.034839351427433394e-24
2.128906250000000000e-01 6.879859893756644447e-23 6.962672027838022970e-23 -8.281213408137843156e-25
2.138671875000000000e-01 -9.248799635437473933e-23 -9.189948828945875632e-23 -5.885080649159848382e-25
2.148437500000000000e-01 8.529087905400545174e-23 8.561353358317447437e-23 -3.226545291690241890e-25
2.158203125000000000e-01 5.562928125773168244e-24 5.600500509809985763e-24 -3.757238403681761054e-26
2.167968750000000000e-01 3.548346395165916188e-23 3.522525654068177123e-23 2.582074109773907442e-25
2.177734375000000000e-01 -5.128046024844020196e-23 -5.183671315560361725e-23 5.562529071634128989e-25
2.187500000000000000e-01 1.402483987468885330e-23 1.317776281573559813e-23 8.470770589532551766e-25
2.197265625000000000e-01 -7.734329457734546589e-23 -7.846508529267408736e-23 1.121790715328624412e-24
2.207031250000000000e-01 8.658992363762324309e-24 7.287975797949339717e-24 1.371016565812984225e-24
2.216796875000000000e-01 2.151925545237649179e-23 1.993266930510771798e-23 1.586586147268773814e-24
2.226562500000000000e-01 7.750941932105503953e-23 7.574901224142980438e-23 1.760407079625236983e-24
2.236328125000000000e-01 4.492089000418907568e-23 4.303478024199258568e-23 1.886109762196487060e-24
2.246093750000000000e-01 -6.483154246325622086e-23 -6.678944328111804868e-23 1.957900817861830751e-24
2.255859375000000000e-01 7.183975913582072192e-23 6.986756079284029640e-23 1.972198342980428461e-24
2.265625000000000000e-01 -2.685778007225243429e-23 -2.878416459763905510e-23 1.926384525386619344e-24
